rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
178,WA13102911,타세놀8시간이알서방정(아세트아미노펜)_(0.65g/1정)(부광약품(주))-1정,343130.0,0.0,0.0009289236631938535,0.5691058360502084,A,
179,WA13356281,올펜정(뉴젠팜)-1정,340949.0,0.0,0.0009230192464730019,0.5700288552966813,A,
180,W698502210,에페시나정(에페리손염산염)_(50mg/1정)((주)테라젠이텍스)-1정,335970.0,0.0,0.0009095400668062803,0.5709383953634877,A,
181,WA21403401,엑소페린정(한미약품)-1정,335665.5,0.0,0.0009087157225185686,0.5718471110860063,A,
182,WA21401631,암브로콜정(한미약품)-1정,333879.0,0.0,0.0009038792986433731,0.5727509903846496,A,
183,W656204860,노바포스정(암로디핀베실산염)_(6.944mg/1정)((주)바스칸바이오제약)-1정,333791.0,0.0,0.0009036410644978275,0.5736546314491474,A,
184,WA01508491,오로디핀정(암로디핀오로트산염)_(6.91mg/1정)(동아에스티(주))-1정,332751.5,0.0,0.0009008269236535702,0.574555458372801,A,
185,WA20702701,신일이부프로펜정400mg(신일제약)-1정,332584.5,0.0,0.0009003748202182734,0.5754558331930193,A,
186,W658501770,칼리드정50단위(칼리디노게나제)(익수제약(주))-1정,330015.0,0.0,0.0008934186538889621,0.5763492518469082,A,
187,USE0000854,영양제,329840.0,0.0,0.0008929448928040703,0.5772421967397123,A,
188,W679801360,아토바스정10mg(아토르바스타틴칼슘)((주)티디에스팜)-1정,328487.0,0.0,0.0008892820428163067,0.5781314787825287,A,
189,W658501600,아스필장용정(아스피린100밀리그람)(익수제약(주))-1정,327798.0,0.0,0.0008874167777449327,0.5790188955602736,A,
190,W669604850,본디칼정_(1정)((주)아이월드제약)-1정,319454.0,0.0,0.0008648278492172916,0.5798837234094909,A,
191,W628800280,베로핀정5mg (암로디핀베실산염)((주)휴비스트제약)-1정,314707.0,0.0,0.0008519767413888265,0.5807357001508797,A,
192,WA05002021,부루펜정200mg(삼일제약)-1정,313525.5,0.0,0.000848778177264257,0.581584478328144,A,
193,W653102850,튜비스투정150/300밀리그램((주)비씨월드제약)-1정,311067.0,0.0,0.000842122510823077,0.582426600838967,A,
194,W653501380,트라젠타정(리나글립틴)_(5mg/1정)(한국베링거인겔하임(주))-1정,310805.0,0.0,0.000841413222798839,0.5832680140617659,A,
195,WA36753711,세자르플러스정(삼익제약)-1정,309879.0,0.0,0.0008389063498582116,0.584106920411624,A,
196,WA12800591,대원아미노필린정(대원제약)-1정,306562.0,0.0,0.0008299265468948623,0.5849368469585189,A,
197,WMD0300980,삐콤정(유한양행)-1정,301106.0,0.0,0.0008151560298710356,0.5857520029883899,A,
198,WA11850101,게루삼엠정(건조수산화알루미늄겔)(삼남제약(주))-1정,300494.0,0.0,0.000813499219677014,0.5865655022080669,A,
199,WA04504681,알마겔에프현탁액(유한양행)-15ml/1포,298396.5,0.0,0.0008078208546738108,0.5873733230627407,A,
200,W656003500,머렉스정(에페리손염산염)(알리코제약(주))-1정,298341.5,0.0,0.0008076719583328448,0.5881809950210736,A,
